obs_id,site_id,site_match_confidence,meta_source,study_citation,location_name,lat,lon,country_continent,koppen_geiger,whittaker_biome,climate_class_paperdefined,forest_change_metric,forest_change_submetric,forest_change_value_type,forest_change_value_point,forest_change_value_min,forest_change_value_max,forest_change_value_sd,forest_change_unit,hydro_response_metric,hydro_response_value_type,hydro_response_value_point,hydro_response_value_min,hydro_response_value_max,hydro_response_value_sd,hydro_response_unit,method_analysis,method_forest_change_measurement,method_hydro_response_measurement,watershed_area_km2,precip_mm_yr,spatial_scale,notes_flags,figure_table_source
zhang2017_183,,,"Zhang et al., 2017","Molina et al.,2012",Jadan,,,,,,,forest_cover_change,,point,-6.8,,,,%,runoff,point,28.5,,,,%,SH,% cover change (source study),catchment water balance,296,850,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_184,,,"Zhang et al., 2017","Van der Zeland Kruger,1975","Jonhershoek, South Africa:Bosboukloof",,,,,,,forest_cover_change,,point,57,,,,%,runoff,point,-4.6,,,,%,PWE,% cover change (source study),catchment water balance,2,1390,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_185,,,"Zhang et al., 2017","Nakano, 1971",Kamabuchi No. 2,,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,5.1,,,,%,PWE,% cover change (source study),catchment water balance,0.03,2641,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_186,,,"Zhang et al., 2017","Koivusalo et al., 2006",Kangasvaara,,,,,,,forest_cover_change,,point,-35,,,,%,runoff,point,5.8,,,,%,"PWE, HM",% cover change (source study),catchment water balance,0.56,700,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_187,site_kericho_sambret,exact,"Zhang et al., 2017","Pereira,1962",Kericho Sambret,-0.4,35.4,Africa,Cwb,Tropical seasonal forest/savanna,,forest_cover_change,,point,-34,,,,%,runoff,point,13.1,,,,%,PWE,% cover change (source study),catchment water balance,7.02,2236,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #91, Kericho Sambret) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_188,,,"Zhang et al., 2017","Bruijnzeel,1990",Kimakia,,,,,,,forest_cover_change,,point,100,,,,%,runoff,point,10.9,,,,%,PWE,% cover change (source study),catchment water balance,0.364,2307,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_189,,,"Zhang et al., 2017","Bruijnzeel,1990",Kimakia A,,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,80.5,,,,%,PWE,% cover change (source study),catchment water balance,0.35,2014,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_190,,,"Zhang et al., 2017","Ide et al.,2013",Kivipuro,,,,,,,forest_cover_change,,point,-56,,,,%,runoff,point,4,,,,%,PWE,% cover change (source study),catchment water balance,0.86,564,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_191,,,"Zhang et al., 2017","Cornish, 1993",Kokota,,,,,,,forest_cover_change,,point,29,,,,%,runoff,point,35.4,,,,%,PWE,% cover change (source study),catchment water balance,0.974,1669,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_192,site_la_baells_in_llobregat,exact,"Zhang et al., 2017","Gallart et al.,2011",La Baells in Llobregat,42.0,1.7,Europe,Csb,Woodland/shrubland,,forest_cover_change,,point,14,,,,%,runoff,point,-15,,,,%,HM,% cover change (source study),catchment water balance,504,905,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #94, La Baells in Llobregat) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_193,,,"Zhang et al., 2017","Niedda et al.,2014",Lake Baratz,,,,,,,forest_cover_change,,point,-18,,,,%,runoff,point,-13,,,,%,HM,% cover change (source study),catchment water balance,12,630,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_194,,,"Zhang et al., 2017","Scott, 1993",Lambreehtaboa B,,,,,,,forest_cover_change,,point,84,,,,%,runoff,point,0,,,,%,PWE,% cover change (source study),catchment water balance,0.65,1473,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_195,site_latrobe_river,probable,"Zhang et al., 2017","Zhou et al., 2015",Latrobe River,-37.7,146.2,Oceania,Cfb,Temperate seasonal forest,,forest_cover_change,,point,-18.5,,,,%,runoff,point,26.4,,,,%,PWE,% cover change (source study),catchment water balance,292.91,394,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #95, Latrobe River) - confidence=probable, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_196,,,"Zhang et al., 2017","Lynch et al.,1980","Leading Ridge, PA #2",,,,,,,forest_cover_change,,point,-20,,,,%,runoff,point,21.3,,,,%,PWE,% cover change (source study),catchment water balance,0.43,1000,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_197,site_left_fork,exact,"Zhang et al., 2017","Bruijnzeel,1990",Left Fork,15.0,121.4,Asia,Af,Tropical rain forest,,forest_cover_change,,point,-100,,,,%,runoff,point,9.5,,,,%,PWE,% cover change (source study),catchment water balance,0.01,3170,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #97, Left Fork) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_198,site_lianshui,exact,"Zhang et al., 2017","Li et al.,2014",Lianshui,26.5,115.6,Asia,Cfa,Temperate seasonal forest,,forest_cover_change,,point,23,,,,%,runoff,point,-7.7,,,,%,HM,% cover change (source study),catchment water balance,579,1600,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #98, Lianshui) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_199,,,"Zhang et al., 2017","Bart and Hope,2010",Lopez,,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,0,,,,%,PWE,% cover change (source study),catchment water balance,54,689,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_200,site_luano,exact,"Zhang et al., 2017","Bruijnzeel,1990",Luano,-14.8,29.6,Africa,Cwa,Tropical seasonal forest/savanna,,forest_cover_change,,point,-100,,,,%,runoff,point,56,,,,%,PWE,% cover change (source study),catchment water balance,1.2,1400,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #99, Luano) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
